"URL","Subject","Predicate","Object","Errors","Warnings","Validation Type 1","Severity 1","Issue 1","Validation Type 2","Severity 2","Issue 2","Validation Type 3","Severity 3","Issue 3","Validation Type 4","Severity 4","Issue 4","Validation Type 5","Severity 5","Issue 5","Validation Type 6","Severity 6","Issue 6","Validation Type 7","Severity 7","Issue 7","Validation Type 8","Severity 8","Issue 8","Validation Type 9","Severity 9","Issue 9","Validation Type 10","Severity 10","Issue 10"
"https://www.stitch.coffee/products/iced-oat-milk-latte-can","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/iced-oat-milk-latte-can","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/iced-oat-milk-latte-can","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/iced-oat-milk-latte-can","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/iced-oat-milk-latte-can","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://schema.org/description","undefined","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/660711cca41ea5713c34bec0e603c43a3a9f407d-1600x1600.png?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://schema.org/name","KINTO - To Go Tumbler With Plug","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject3","http://schema.org/price","44","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/kinto-to-go-tumbler-with-plug","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://schema.org/description","undefined","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/fb1a2bcb51a8858bc440fc6e766ac6e607793f6d-1200x1200.png?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://schema.org/name","Ocean Dips LS Tee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject3","http://schema.org/price","38.25","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/ocean-dips-ls-tee","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://schema.org/description","Our triumphant trio of Lost Origin beans now available in the one taster pack—and for 10% off!","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/446d39f8a41976699d327b54e23cebabdb6a5a32-1600x1600.jpg?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://schema.org/name","Lost Origin Taster Pack","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject3","http://schema.org/price","81","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/lost-origin-taster-pack","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://schema.org/description","A fine Red Bourbon coffee from Burundi has just landed in your cup. Courtesy of Rumonge & Bujumbura farmers. Roasted light in Sydney, Australia.","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/244e49a2d8d366e65492a6d85d6a7ad5ec550831-1107x1107.jpg?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://schema.org/name","Burundi, Kirasa","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject3","http://schema.org/price","18","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/burundi-kirasa","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject0","JSON-LD","subject1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://schema.org/brand","subject2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://schema.org/description","Its grooved aperture aligns with the 20 grooves on the dripper, maintaining horizontal stability for consistent coffee extraction.","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://schema.org/image","https://cdn.sanity.io/images/yp7gcwn5/production/8f52c842654d00a359ebb12b295b8726ccbe17ab-1600x1600.jpg?w=1200","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://schema.org/name","ORIGAMI AS Plastic Dripper Holder","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://schema.org/offers","subject3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Product","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject2","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject3","http://schema.org/availability","http://schema.org/InStock","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject3","http://schema.org/price","9","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject3","http://schema.org/priceCurrency","AUD","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject3","http://schema.org/seller","subject4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Offer","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject4","http://schema.org/name","Stitch Coffee","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.stitch.coffee/products/origami-as-plastic-dripper","subject4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Brand","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
